negative_words,comma,R,romney,positive_words,sentiment
0,0,0,0,0,pro_romney
0,0,1,0,1,pro_obama
0,0,0,0,0,pro_obama
2,0,1,0,0,pro_romney
1,1,0,0,1,pro_romney
0,0,0,0,1,pro_obama
0,0,0,0,0,pro_obama
0,0,0,0,1,pro_obama
4,1,0,0,1,pro_romney
1,0,0,0,0,pro_romney
1,0,2,1,1,pro_obama
0,1,1,1,0,pro_romney
1,0,1,1,1,pro_romney
0,0,0,1,0,pro_romney
5,1,0,0,0,pro_romney
2,0,0,0,0,pro_romney
1,0,0,1,1,pro_obama
2,1,0,0,0,pro_romney
0,0,0,0,0,pro_romney
0,0,0,1,0,pro_obama
2,0,2,1,0,pro_obama
1,0,0,0,0,pro_romney
0,0,0,1,0,pro_obama
0,0,0,0,1,pro_obama
1,1,0,0,0,pro_obama
1,0,0,1,2,pro_obama
0,0,2,1,0,pro_obama
1,0,0,1,1,pro_obama
2,0,1,0,0,pro_romney
2,0,1,0,0,pro_romney
0,0,3,1,1,pro_obama
0,0,1,0,0,pro_obama
1,0,1,1,3,pro_romney
0,0,1,0,0,pro_romney
0,1,0,1,0,pro_romney
0,0,1,0,1,pro_romney
0,0,2,1,1,pro_obama
0,0,0,0,1,pro_romney
1,0,2,1,1,pro_obama
0,1,2,1,2,pro_obama
1,0,0,1,1,pro_obama
2,0,1,0,0,pro_romney
0,0,0,0,0,pro_romney
1,0,0,0,0,pro_romney
1,0,1,1,0,pro_obama
0,0,1,1,1,pro_obama
1,1,1,0,0,pro_romney
1,0,0,0,0,pro_romney
1,0,1,1,1,pro_obama
2,1,0,1,0,pro_obama
0,0,0,1,0,pro_romney
0,0,1,0,1,pro_romney
0,1,1,1,1,pro_obama
1,0,0,0,1,pro_obama
1,0,0,0,0,pro_romney
0,2,0,0,2,pro_obama
0,0,0,0,0,pro_romney
0,0,0,1,0,pro_romney
0,0,2,0,1,pro_obama
1,0,0,1,0,pro_romney
0,0,0,1,0,pro_obama
2,0,1,1,0,pro_obama
2,0,3,1,1,pro_obama
2,1,0,0,0,pro_romney
0,0,0,1,0,pro_romney
1,3,0,0,0,pro_romney
0,0,0,0,0,pro_obama
0,1,0,0,0,pro_obama
1,1,3,0,2,pro_romney
0,1,1,1,2,pro_romney
0,0,0,0,0,pro_romney
0,0,0,1,1,pro_romney
0,0,2,1,0,pro_obama
0,2,1,1,0,pro_romney
0,0,0,1,0,pro_romney
0,0,0,1,0,pro_obama
0,0,2,1,0,pro_obama
0,1,0,0,2,pro_romney
0,0,0,0,1,pro_romney
0,3,3,1,1,pro_obama
1,0,2,1,1,pro_obama
0,0,2,1,1,pro_obama
0,0,0,1,0,pro_obama
0,0,0,1,1,pro_romney
2,0,1,1,0,pro_obama
0,0,1,1,1,pro_romney
2,1,2,0,0,pro_romney
2,0,2,1,0,pro_obama
0,0,0,1,0,pro_romney
0,0,1,1,1,pro_romney
1,1,0,0,0,pro_obama
1,0,0,0,0,pro_romney
1,1,0,1,0,pro_obama
0,2,0,0,0,pro_romney
0,0,0,1,0,pro_obama
0,0,1,1,0,pro_romney
1,0,0,1,0,pro_romney
0,0,4,0,0,pro_obama
0,0,2,1,1,pro_obama
0,0,0,1,1,pro_obama
2,2,0,1,1,pro_obama
2,0,0,0,0,pro_romney
0,0,2,1,0,pro_obama
0,0,0,1,0,pro_obama
2,0,0,1,3,pro_romney
1,0,1,1,0,pro_romney
3,0,3,0,0,pro_romney
1,0,1,0,0,pro_obama
1,1,1,1,1,pro_obama
0,0,0,1,2,pro_obama
0,0,0,1,0,pro_romney
1,0,1,0,1,pro_romney
4,1,3,0,1,pro_romney
0,0,0,0,0,pro_romney
1,1,0,1,1,pro_obama
0,1,0,0,0,pro_obama
1,1,1,0,0,pro_romney
0,0,0,1,0,pro_obama
0,0,1,1,1,pro_obama
1,0,2,1,1,pro_obama
0,1,2,1,0,pro_obama
1,0,2,0,0,pro_romney
0,0,0,1,0,pro_obama
0,0,3,1,1,pro_obama
2,0,1,0,1,pro_obama
1,0,3,1,0,pro_obama
0,0,2,0,1,pro_obama
2,0,0,1,0,pro_obama
4,0,1,1,0,pro_obama
1,0,0,0,0,pro_romney
4,2,1,1,1,pro_obama
0,0,0,1,0,pro_obama
1,0,1,1,0,pro_obama
0,1,0,0,1,pro_obama
1,0,0,0,2,pro_romney
1,0,1,1,0,pro_obama
0,0,0,1,1,pro_obama
0,0,0,0,0,pro_romney
0,0,1,0,0,pro_romney
2,0,0,0,0,pro_romney
0,0,0,1,0,pro_obama
1,0,0,1,0,pro_romney
3,0,0,0,0,pro_romney
1,0,0,1,0,pro_obama
1,0,0,1,0,pro_obama
0,0,0,1,1,pro_romney
0,1,1,1,0,pro_obama
1,0,1,1,0,pro_obama
1,0,0,1,0,pro_romney
0,0,2,1,0,pro_romney
1,0,3,0,0,pro_obama
1,0,2,1,0,pro_obama
0,0,2,1,1,pro_obama
1,0,1,0,0,pro_romney
0,0,1,0,2,pro_obama
0,0,0,0,0,pro_romney
0,0,0,0,0,pro_obama
0,0,0,1,1,pro_obama
3,0,1,0,0,pro_romney
0,0,1,1,1,pro_obama
1,0,0,0,0,pro_romney
0,3,0,1,1,pro_obama
5,0,0,1,0,pro_obama
0,0,2,1,1,pro_obama
2,0,3,1,1,pro_obama
1,0,0,1,0,pro_obama
0,1,0,1,0,pro_romney
2,0,0,0,2,pro_romney
0,0,0,1,1,pro_romney
0,0,0,1,0,pro_obama
0,1,0,1,1,pro_romney
0,0,1,1,1,pro_romney
2,0,0,0,0,pro_obama
0,0,0,1,0,pro_romney
1,1,0,0,0,pro_romney
1,0,0,1,0,pro_obama
0,0,1,1,2,pro_romney
0,0,1,1,0,pro_romney
0,0,0,0,1,pro_romney
0,0,3,1,0,pro_obama
0,0,0,1,2,pro_obama
0,0,1,1,0,pro_obama
0,0,0,1,1,pro_romney
2,0,0,0,1,pro_romney
0,0,0,1,1,pro_obama
1,0,2,1,5,pro_obama
2,0,0,0,1,pro_romney
0,0,0,1,0,pro_romney
2,1,0,1,0,pro_obama
0,0,1,0,0,pro_romney
0,0,4,1,2,pro_romney
0,0,0,1,0,pro_obama
0,0,1,1,0,pro_obama
0,1,1,0,0,pro_romney
1,0,0,1,1,pro_obama
0,7,1,0,1,pro_romney
1,0,0,0,0,pro_romney
1,0,1,1,0,pro_obama
1,0,1,0,0,pro_romney
1,0,0,1,0,pro_obama
3,0,0,1,0,pro_obama
0,0,0,0,0,pro_obama
0,0,0,1,0,pro_romney
0,0,0,1,0,pro_romney
2,1,3,1,1,pro_romney
0,0,0,0,0,pro_obama
0,0,1,0,0,pro_romney
2,0,1,1,0,pro_romney
1,1,0,1,0,pro_obama
0,0,0,0,0,pro_obama
0,0,0,0,0,pro_obama
1,0,0,1,0,pro_obama
0,0,1,0,3,pro_romney
1,0,1,0,1,pro_romney
0,0,0,1,2,pro_romney
0,0,0,0,1,pro_obama
1,0,2,1,1,pro_obama
0,0,2,1,1,pro_obama
0,0,0,0,0,pro_obama
0,1,0,0,1,pro_obama
1,0,0,0,0,pro_romney
0,0,1,1,0,pro_obama
1,0,0,1,0,pro_obama
1,1,0,1,2,pro_obama
0,0,0,1,0,pro_romney
1,0,2,1,1,pro_romney
0,3,2,0,0,pro_romney
0,1,0,1,1,pro_obama
0,1,1,1,2,pro_obama
2,2,1,0,1,pro_romney
0,0,2,1,0,pro_obama
1,0,0,1,0,pro_obama
0,2,0,1,0,pro_romney
0,0,0,1,0,pro_romney
0,0,0,0,0,pro_romney
0,1,0,0,0,pro_romney
1,0,1,1,0,pro_romney
2,0,1,0,0,pro_obama
1,0,0,0,2,pro_obama
0,1,0,1,0,pro_obama
1,0,0,1,0,pro_obama
0,0,1,0,0,pro_romney
2,0,1,1,1,pro_romney
1,0,0,1,2,pro_obama
0,1,1,1,1,pro_romney
0,1,0,1,1,pro_romney
1,0,1,1,0,pro_romney
1,0,0,1,0,pro_obama
0,0,2,1,1,pro_obama
0,0,0,1,0,pro_obama
0,0,2,1,0,pro_romney
2,1,1,0,0,pro_romney
0,0,0,0,1,pro_romney
0,0,0,0,0,pro_obama
0,0,0,1,0,pro_romney
0,0,0,1,0,pro_obama
1,0,0,0,0,pro_romney
0,0,0,0,1,pro_obama
1,0,0,0,0,pro_romney
0,0,1,0,0,pro_obama
0,0,0,1,1,pro_obama
0,0,0,1,0,pro_romney
1,0,1,1,3,pro_romney
0,0,0,1,1,pro_obama
0,0,0,1,0,pro_romney
0,0,3,1,0,pro_obama
2,0,0,1,0,pro_obama
1,1,0,1,0,pro_romney
2,1,2,0,0,pro_romney
1,0,1,1,0,pro_romney
0,0,0,1,0,pro_obama
0,0,2,1,0,pro_romney
1,0,0,1,2,pro_romney
0,1,2,1,0,pro_obama
0,0,2,0,1,pro_romney
1,0,1,0,0,pro_romney
1,0,1,0,0,pro_romney
2,0,1,0,1,pro_romney
0,0,0,1,0,pro_obama
0,0,2,0,0,pro_romney
1,1,3,1,0,pro_obama
0,2,2,1,1,pro_obama
1,0,2,1,2,pro_obama
0,0,0,0,0,pro_obama
0,1,0,1,1,pro_romney
1,0,0,1,1,pro_obama
1,1,0,1,0,pro_obama
2,1,2,1,0,pro_obama
0,0,1,0,0,pro_obama
0,0,0,1,0,pro_obama
0,0,1,1,1,pro_obama
0,0,0,1,0,pro_obama
1,0,1,1,0,pro_obama
0,0,0,1,1,pro_obama
1,0,1,1,1,pro_obama
0,0,1,1,1,pro_romney
0,0,0,1,2,pro_romney
0,0,0,1,0,pro_romney
3,0,2,0,1,pro_romney
0,0,0,1,1,pro_obama
0,1,2,1,2,pro_obama
0,1,0,1,1,pro_obama
0,0,0,1,0,pro_obama
0,2,0,1,0,pro_obama
1,1,0,1,0,pro_romney
0,0,2,1,0,pro_romney
2,0,0,1,0,pro_obama
1,0,0,1,0,pro_obama
1,0,1,1,0,pro_obama
2,1,1,1,0,pro_obama
0,0,0,1,0,pro_romney
1,0,0,1,0,pro_obama
0,0,0,1,1,pro_romney
0,0,0,1,0,pro_obama
0,0,0,1,1,pro_obama
1,0,0,1,1,pro_obama
0,1,0,1,0,pro_obama
1,0,3,1,0,pro_obama
1,1,3,1,1,pro_obama
0,0,2,1,1,pro_obama
1,0,1,1,1,pro_obama
0,0,2,1,0,pro_romney
0,0,1,1,0,pro_obama
0,0,1,1,1,pro_romney
3,0,0,1,0,pro_obama
0,0,0,1,0,pro_romney
2,0,0,0,0,pro_obama
0,0,0,1,1,pro_obama
0,0,2,1,1,pro_obama
2,0,0,0,0,pro_romney
0,0,0,1,0,pro_romney
0,0,0,0,1,pro_romney
0,0,1,1,0,pro_obama
0,0,0,1,1,pro_obama
2,1,1,1,0,pro_obama
1,2,0,1,0,pro_obama
1,0,3,1,1,pro_obama
0,0,0,0,1,pro_obama
0,2,0,1,0,pro_obama
1,0,0,1,0,pro_obama
0,0,0,1,1,pro_romney
0,0,0,0,0,pro_obama
0,0,0,1,0,pro_obama
0,0,1,0,0,pro_romney
1,0,0,1,0,pro_obama
1,0,1,0,0,pro_romney
0,0,0,0,1,pro_romney
0,0,0,1,0,pro_obama
1,0,0,1,0,pro_obama
0,0,0,0,2,pro_romney
1,0,1,1,0,pro_obama
0,1,0,0,1,pro_obama
0,0,0,1,1,pro_obama
0,0,1,0,3,pro_romney
0,0,0,1,0,pro_romney
0,0,3,1,0,pro_obama
0,0,0,0,0,pro_obama
0,0,2,1,0,pro_obama
2,1,0,0,2,pro_romney
1,0,0,1,0,pro_obama
0,1,2,1,0,pro_romney
0,0,3,1,3,pro_obama
2,0,1,0,0,pro_romney
1,0,2,1,1,pro_obama
1,0,1,0,2,pro_romney
1,0,1,0,0,pro_romney
0,0,0,0,0,pro_romney
0,0,0,1,0,pro_obama
0,0,0,0,1,pro_obama
0,0,3,1,0,pro_obama
1,0,0,1,0,pro_obama
1,0,2,0,0,pro_romney
1,0,0,0,1,pro_romney
0,2,0,0,0,pro_romney
1,0,0,1,0,pro_obama
1,0,0,1,0,pro_obama
0,0,2,0,1,pro_romney
0,0,1,1,0,pro_romney
1,0,0,0,0,pro_romney
2,1,1,1,0,pro_obama
0,0,1,0,1,pro_obama
1,0,1,1,0,pro_obama
1,0,1,0,1,pro_romney
0,3,0,1,0,pro_romney
1,0,1,1,0,pro_obama
0,0,0,1,0,pro_romney
0,0,1,0,1,pro_obama
0,0,2,0,1,pro_obama
1,0,0,1,0,pro_obama
0,1,2,1,0,pro_romney
1,2,0,1,0,pro_obama
1,0,0,0,0,pro_romney
0,0,0,1,0,pro_obama
1,0,0,1,0,pro_obama
3,0,3,1,1,pro_obama
2,1,3,0,1,pro_romney
0,0,0,1,0,pro_obama
0,1,1,1,1,pro_romney
0,1,1,0,0,pro_romney
0,0,2,1,0,pro_obama
1,0,1,1,0,pro_obama
1,0,1,1,0,pro_obama
0,0,2,1,2,pro_romney
0,0,0,0,1,pro_obama
1,0,0,1,2,pro_romney
0,1,0,0,0,pro_obama
0,0,0,1,1,pro_obama
0,0,0,1,1,pro_obama
1,0,1,1,0,pro_romney
0,1,3,1,1,pro_romney
1,0,1,1,0,pro_obama
1,0,0,1,0,pro_romney
2,1,2,0,1,pro_obama
0,0,0,1,0,pro_obama
1,0,1,1,0,pro_obama
1,0,2,1,1,pro_obama
0,1,1,1,0,pro_obama
1,0,3,0,0,pro_romney
0,0,2,0,1,pro_obama
2,1,1,0,1,pro_romney
0,0,1,1,1,pro_romney
1,0,0,0,2,pro_romney
1,0,2,0,0,pro_romney
2,0,0,1,0,pro_obama
0,0,1,0,1,pro_obama
0,0,0,0,1,pro_obama
0,0,0,1,0,pro_obama
0,4,2,0,0,pro_romney
0,0,0,1,0,pro_obama
2,0,1,1,2,pro_obama
1,2,2,1,0,pro_obama
0,0,1,1,0,pro_obama
0,0,0,0,0,pro_obama
1,6,1,0,1,pro_romney
1,0,0,1,0,pro_romney
0,0,1,1,0,pro_obama
0,0,0,1,0,pro_obama
4,0,0,0,0,pro_romney
0,0,0,1,1,pro_obama
0,0,0,1,1,pro_romney
1,0,0,0,0,pro_romney
0,0,3,1,0,pro_obama
1,0,1,1,0,pro_obama
0,0,1,1,0,pro_romney
0,0,1,1,2,pro_romney
1,1,1,1,0,pro_obama
0,0,0,1,1,pro_obama
0,0,3,0,0,pro_romney
2,0,1,0,1,pro_romney
2,0,0,1,0,pro_obama
0,0,1,0,0,pro_romney
1,0,3,1,0,pro_obama
1,1,1,1,2,pro_obama
0,0,0,1,0,pro_obama
0,1,3,0,1,pro_romney
0,0,4,1,0,pro_obama
2,1,1,1,0,pro_romney
0,0,0,1,0,pro_obama
4,0,0,0,0,pro_romney
1,0,0,1,0,pro_obama
1,1,1,0,0,pro_romney
0,0,0,1,2,pro_obama
0,1,2,0,0,pro_obama
0,0,1,0,0,pro_romney
0,1,1,0,2,pro_romney
0,0,1,1,0,pro_romney
0,1,0,0,0,pro_romney
0,0,0,1,0,pro_romney
0,0,1,0,1,pro_obama
1,0,0,1,1,pro_obama
0,0,0,0,1,pro_obama
0,2,0,0,1,pro_obama
2,1,1,0,0,pro_romney
2,0,0,0,0,pro_romney
0,1,0,0,0,pro_obama
0,6,1,0,0,pro_obama
1,0,0,0,0,pro_obama
0,0,0,0,1,pro_obama
0,0,0,0,0,pro_obama
1,0,0,1,0,pro_romney
0,0,0,1,1,pro_romney
1,1,0,1,0,pro_obama
0,2,0,0,0,pro_obama
3,0,3,1,0,pro_obama
1,0,0,1,0,pro_obama
0,0,0,0,0,pro_romney
2,0,1,1,0,pro_romney
0,0,0,0,2,pro_romney
1,0,0,0,2,pro_romney
1,0,4,1,0,pro_romney
1,0,1,1,0,pro_obama
2,1,0,1,0,pro_obama
0,0,2,1,0,pro_romney
1,0,1,1,0,pro_obama
2,1,1,1,0,pro_obama
1,0,0,0,0,pro_romney
1,0,0,1,2,pro_romney
0,1,1,1,1,pro_romney
0,0,0,0,0,pro_obama
0,0,0,1,0,pro_obama
0,0,1,1,0,pro_romney
0,1,1,0,1,pro_romney
1,2,0,0,0,pro_romney
0,0,0,0,0,pro_romney
0,0,2,0,1,pro_obama
1,0,0,1,2,pro_obama
2,0,0,0,2,pro_romney
1,0,0,1,0,pro_obama
0,0,0,0,0,pro_romney
0,0,0,1,1,pro_obama
0,2,0,1,4,pro_romney
0,0,1,1,1,pro_romney
1,0,1,0,0,pro_romney
2,0,2,0,2,pro_obama
1,0,0,1,0,pro_romney
1,0,1,0,0,pro_obama
0,0,0,1,0,pro_romney
1,0,0,0,0,pro_obama
0,0,2,0,1,pro_obama
3,0,0,0,0,pro_romney
1,0,2,0,1,pro_obama
0,1,2,0,0,pro_romney
2,0,4,0,0,pro_romney
0,2,3,1,1,pro_obama
1,0,0,1,0,pro_obama
1,0,0,0,0,pro_romney
0,2,0,1,0,pro_romney
0,0,0,0,1,pro_obama
0,0,1,0,0,pro_romney
0,0,0,0,0,pro_obama
0,0,0,1,1,pro_obama
0,2,2,0,2,pro_romney
0,0,0,0,0,pro_obama
0,0,0,1,1,pro_obama
1,0,0,0,1,pro_romney
1,0,1,0,1,pro_obama
0,1,0,0,0,pro_obama
0,0,0,1,1,pro_obama
1,1,2,0,0,pro_romney
0,0,2,1,0,pro_obama
0,0,0,1,1,pro_romney
0,0,1,0,0,pro_romney
0,0,0,0,0,pro_romney
0,0,0,1,1,pro_obama
0,0,0,1,0,pro_romney
0,1,1,0,1,pro_obama
1,0,0,1,1,pro_obama
0,0,0,0,0,pro_obama
0,0,2,1,0,pro_romney
0,0,0,0,0,pro_obama
1,1,1,0,1,pro_obama
0,0,0,0,0,pro_obama
0,7,1,0,0,pro_romney
0,0,1,0,1,pro_romney
0,0,0,1,0,pro_obama
0,1,2,1,0,pro_obama
0,0,2,1,2,pro_obama
0,0,1,0,0,pro_obama
0,0,0,1,0,pro_obama
0,0,2,0,1,pro_obama
1,0,0,1,0,pro_obama
0,0,0,0,1,pro_obama
2,0,2,1,2,pro_obama
0,2,0,0,0,pro_obama
2,0,0,0,0,pro_romney
0,0,0,0,0,pro_romney
0,2,0,0,1,pro_obama
1,1,3,0,1,pro_romney
0,0,0,0,1,pro_obama
0,0,2,1,1,pro_obama
0,0,1,1,3,pro_obama
0,3,1,0,1,pro_romney
0,0,0,0,0,pro_romney
0,0,0,0,1,pro_obama
0,0,2,0,2,pro_obama
0,0,0,0,1,pro_obama
0,0,0,0,2,pro_obama
0,0,0,0,1,pro_obama
0,0,1,0,1,pro_obama
0,0,0,0,1,pro_obama
0,0,1,1,2,pro_obama
0,0,0,0,2,pro_obama
0,0,3,1,3,pro_obama
0,0,0,0,1,pro_obama
0,0,0,0,0,pro_romney
0,0,4,0,1,pro_romney
2,0,2,0,1,pro_romney
2,0,1,1,0,pro_romney
0,0,3,0,1,pro_obama
2,0,2,0,0,pro_romney
1,0,0,0,0,pro_obama
3,0,2,0,0,pro_obama
1,1,0,0,0,pro_obama
0,0,1,0,1,pro_obama
1,0,0,0,0,pro_romney
0,0,0,1,1,pro_obama
2,0,0,1,0,pro_obama
1,0,2,0,1,pro_romney
